"annotation_id","annotator","created_at","id","lead_time","timeseriesUrl","trend_forecast","updated_at"
37,"1","2024-12-01T16:46:00.606286Z",119,26.22,"/data/upload/3/f085fe84-2024-12-01T162620_squat.npy.csv","squat","2024-12-01T16:46:06.716751Z"
38,"1","2024-12-01T16:46:18.050513Z",120,8.362,"/data/upload/3/65692c05-2024-12-01T162601_squat.npy.csv","other","2024-12-01T16:46:18.050532Z"
39,"1","2024-12-01T16:46:21.964683Z",121,2.523,"/data/upload/3/b3b4314e-2024-12-01T162541_squat.npy.csv","squat","2024-12-01T16:46:21.964709Z"
40,"1","2024-12-01T16:46:28.628280Z",122,5.581,"/data/upload/3/6e7d7b4f-2024-12-01T162458_lunge.npy.csv","lunge","2024-12-01T16:46:28.628299Z"
41,"1","2024-12-01T16:46:33.029374Z",123,2.711,"/data/upload/3/772dafa4-2024-12-01T162448_lunge.npy.csv","lunge","2024-12-01T16:46:33.029401Z"
42,"1","2024-12-01T16:46:38.365943Z",124,3.872,"/data/upload/3/f80d506c-2024-12-01T162428_lunge.npy.csv","mixed","2024-12-01T16:46:38.365966Z"
43,"1","2024-12-01T16:46:45.098587Z",125,5.727,"/data/upload/3/383846d0-2024-12-01T162225_other.npy.csv","other","2024-12-01T16:46:45.098607Z"
44,"1","2024-12-01T16:46:48.752012Z",126,2.514,"/data/upload/3/e0525ac5-2024-12-01T162205_other.npy.csv","other","2024-12-01T16:46:48.752066Z"
45,"1","2024-12-01T16:46:51.942826Z",127,2.214,"/data/upload/3/6cd64f5b-2024-12-01T162155_other.npy.csv","other","2024-12-01T16:46:51.942846Z"
46,"1","2024-12-01T16:46:55.216257Z",128,2.317,"/data/upload/3/21d0dc28-2024-12-01T162145_other.npy.csv","other","2024-12-01T16:46:55.216281Z"
53,"1","2024-12-01T16:48:32.432309Z",129,4.588,"/data/upload/3/39aec739-2024-12-01T162135_other.npy.csv","other","2024-12-01T16:48:32.432330Z"
47,"1","2024-12-01T16:47:03.241658Z",130,6.328,"/data/upload/3/9036d4f9-2024-12-01T162640_squat.npy.csv","mixed","2024-12-01T16:47:03.241678Z"
48,"1","2024-12-01T16:47:22.200593Z",131,18.086,"/data/upload/3/8ab535dd-2024-12-01T160747_lunge.npy.csv","lunge","2024-12-01T16:47:22.200622Z"
49,"1","2024-12-01T16:47:30.308274Z",132,6.675,"/data/upload/3/abfa2d30-2024-12-01T160656_lunge.npy.csv","mixed","2024-12-01T16:47:30.308293Z"
50,"1","2024-12-01T16:47:35.375734Z",133,4.116,"/data/upload/3/6e15b2da-2024-12-01T160554_jumpingjack.npy.csv","mixed","2024-12-01T16:47:35.375753Z"
51,"1","2024-12-01T16:47:39.951597Z",134,3.23,"/data/upload/3/78b36a7b-2024-12-01T160545_jumpingjack.npy.csv","jumpingjack","2024-12-01T16:47:39.951621Z"
52,"1","2024-12-01T16:47:51.026050Z",135,9.587,"/data/upload/3/9241dcd2-2024-12-01T160535_jumpingjack.npy.csv","mixed","2024-12-01T16:47:51.026070Z"
